'DIMENSIONE';'TIME_SINGLE';'TIME_MULTI'
400;'0.000003';'0.004406'
410;'0.000002';'0.000813'
410;'0.000003';'0.000989'
410;'0.000003';'0.000815'
410;'0.000002';'0.000976'
410;'0.000003';'0.000858'
410;'0.000003';'0.000830'
410;'0.000003';'0.000801'
410;'0.000003';'0.000821'
410;'0.000002';'0.000810'
410;'0.000002';'0.000837'
420;'0.000003';'0.000816'
420;'0.000002';'0.000821'
420;'0.000002';'0.000813'
420;'0.000002';'0.000829'
420;'0.000003';'0.000978'
420;'0.000002';'0.001216'
420;'0.000002';'0.003861'
420;'0.000002';'0.000880'
420;'0.000002';'0.001364'
420;'0.000002';'0.000879'
430;'0.000002';'0.000908'
430;'0.000003';'0.000830'
430;'0.000003';'0.000924'
430;'0.000003';'0.000840'
430;'0.000003';'0.000911'
430;'0.000003';'0.000921'
430;'0.000003';'0.000928'
430;'0.000003';'0.001210'
430;'0.000003';'0.003914'
430;'0.000003';'0.000818'
440;'0.000002';'0.000791'
440;'0.000002';'0.001817'
440;'0.000002';'0.000841'
440;'0.000003';'0.000867'
440;'0.000003';'0.000838'
440;'0.000002';'0.000960'
440;'0.000003';'0.001078'
440;'0.000003';'0.000937'
440;'0.000002';'0.000937'
440;'0.000002';'0.000966'
450;'0.000001';'0.000935'
450;'0.000001';'0.000991'
450;'0.000001';'0.003897'
450;'0.000002';'0.000939'
450;'0.000002';'0.000825'
450;'0.000002';'0.000848'
450;'0.000002';'0.000865'
450;'0.000002';'0.000928'
450;'0.000001';'0.000962'
450;'0.000002';'0.000939'
460;'0.000003';'0.000886'
460;'0.000003';'0.000958'
460;'0.000003';'0.000857'
460;'0.000003';'0.001501'
460;'0.000003';'0.000941'
460;'0.000003';'0.001071'
460;'0.000003';'0.000949'
460;'0.000003';'0.000944'
460;'0.000003';'0.000841'
460;'0.000003';'0.000847'
470;'0.000003';'0.000855'
470;'0.000003';'0.000864'
470;'0.000003';'0.001106'
470;'0.000003';'0.000878'
470;'0.000003';'0.000867'
470;'0.000003';'0.000979'
470;'0.000003';'0.000957'
470;'0.000003';'0.000992'
470;'0.000003';'0.000986'
470;'0.000003';'0.000971'
480;'0.000002';'0.001025'
480;'0.000002';'0.000994'
480;'0.000002';'0.000968'
480;'0.000003';'0.001007'
480;'0.000002';'0.000982'
480;'0.000002';'0.000885'
480;'0.000002';'0.000915'
480;'0.000002';'0.001005'
480;'0.000001';'0.000973'
480;'0.000002';'0.000980'
490;'0.000003';'0.003916'
490;'0.000003';'0.000874'
490;'0.000004';'0.001283'
490;'0.000003';'0.001090'
490;'0.000004';'0.000941'
490;'0.000003';'0.001162'
490;'0.000003';'0.001029'
490;'0.000003';'0.001189'
490;'0.000003';'0.001063'
490;'0.000003';'0.001098'
500;'0.000002';'0.001257'
500;'0.000002';'0.001038'
500;'0.000001';'0.001044'
500;'0.000002';'0.005252'
500;'0.000002';'0.001044'
500;'0.000002';'0.001016'
500;'0.000002';'0.000803'
500;'0.000002';'0.001325'
500;'0.000002';'0.001253'
500;'0.000002';'0.001204'
510;'0.000003';'0.001056'
510;'0.000002';'0.001024'
510;'0.000002';'0.001295'
510;'0.000002';'0.001069'
510;'0.000002';'0.000792'
510;'0.000003';'0.000806'
510;'0.000001';'0.001212'
510;'0.000001';'0.001112'
510;'0.000002';'0.001179'
510;'0.000002';'0.001050'
520;'0.000003';'0.000963'
520;'0.000002';'0.001049'
520;'0.000002';'0.001625'
520;'0.000003';'0.001172'
520;'0.000002';'0.001262'
520;'0.000002';'0.000990'
520;'0.000003';'0.000838'
520;'0.000002';'0.001167'
520;'0.000002';'0.001115'
520;'0.000002';'0.001035'
530;'0.000002';'0.001163'
530;'0.000002';'0.001027'
530;'0.000001';'0.001079'
530;'0.000002';'0.001052'
530;'0.000002';'0.001152'
530;'0.000002';'0.001354'
530;'0.000002';'0.001155'
530;'0.000002';'0.001426'
530;'0.000002';'0.001279'
530;'0.000002';'0.000919'
540;'0.000003';'0.001358'
540;'0.000003';'0.001012'
540;'0.000003';'0.001044'
540;'0.000003';'0.001052'
540;'0.000003';'0.001240'
540;'0.000004';'0.001244'
540;'0.000003';'0.001029'
540;'0.000003';'0.001050'
540;'0.000003';'0.001033'
540;'0.000003';'0.001045'
550;'0.000002';'0.001079'
550;'0.000001';'0.001425'
550;'0.000002';'0.001349'
550;'0.000002';'0.001286'
550;'0.000001';'0.001432'
550;'0.000001';'0.001567'
550;'0.000001';'0.001322'
550;'0.000002';'0.001300'
550;'0.000001';'0.001292'
550;'0.000005';'0.001015'
560;'0.000002';'0.001209'
560;'0.000003';'0.001157'
560;'0.000003';'0.001059'
560;'0.000002';'0.001768'
560;'0.000002';'0.001227'
560;'0.000002';'0.001013'
560;'0.000002';'0.000987'
560;'0.000002';'0.001138'
560;'0.000002';'0.001177'
560;'0.000003';'0.001223'
570;'0.000003';'0.001160'
570;'0.000002';'0.008045'
570;'0.000002';'0.000853'
570;'0.000002';'0.001212'
570;'0.000002';'0.001391'
570;'0.000002';'0.001005'
570;'0.000002';'0.000846'
570;'0.000002';'0.001078'
570;'0.000002';'0.001080'
570;'0.000001';'0.000864'
580;'0.000003';'0.001212'
580;'0.000003';'0.001203'
580;'0.000003';'0.001171'
580;'0.000004';'0.001085'
580;'0.000004';'0.001065'
580;'0.000003';'0.001173'
580;'0.000003';'0.001435'
580;'0.000004';'0.001136'
580;'0.000003';'0.001395'
580;'0.000003';'0.001076'
590;'0.000001';'0.001063'
590;'0.000003';'0.001401'
590;'0.000003';'0.001243'
590;'0.000003';'0.001285'
590;'0.000003';'0.001064'
590;'0.000002';'0.001099'
590;'0.000003';'0.001080'
590;'0.000003';'0.001123'
590;'0.000003';'0.001146'
590;'0.000003';'0.001745'
600;'0.000002';'0.001371'
600;'0.000002';'0.001134'
600;'0.000002';'0.001133'
600;'0.000003';'0.001137'
600;'0.000002';'0.004727'
600;'0.000002';'0.002308'
600;'0.000002';'0.001228'
600;'0.000002';'0.001272'
600;'0.000002';'0.001333'
600;'0.000002';'0.007353'
610;'0.000003';'0.001694'
610;'0.000003';'0.002232'
610;'0.000003';'0.001306'
610;'0.000003';'0.001456'
610;'0.000003';'0.001231'
610;'0.000003';'0.001467'
610;'0.000004';'0.001259'
610;'0.000002';'0.001311'
610;'0.000003';'0.002548'
610;'0.000003';'0.001333'
620;'0.000002';'0.001163'
620;'0.000003';'0.002086'
620;'0.000004';'0.002692'
620;'0.000003';'0.007708'
620;'0.000002';'0.001188'
620;'0.000003';'0.001749'
620;'0.000002';'0.001292'
620;'0.000003';'0.001382'
620;'0.000002';'0.001145'
620;'0.000002';'0.001314'
630;'0.000002';'0.001033'
630;'0.000003';'0.001181'
630;'0.000001';'0.001148'
630;'0.000002';'0.001102'
630;'0.000002';'0.001184'
630;'0.000002';'0.001043'
630;'0.000001';'0.001224'
630;'0.000001';'0.001313'
630;'0.000002';'0.001261'
630;'0.000001';'0.001647'
640;'0.000003';'0.001374'
640;'0.000004';'0.001718'
640;'0.000003';'0.001550'
640;'0.000003';'0.001158'
640;'0.000004';'0.000925'
640;'0.000003';'0.001384'
640;'0.000003';'0.001167'
640;'0.000004';'0.001193'
640;'0.000004';'0.001280'
640;'0.000003';'0.001228'
650;'0.000002';'0.001047'
650;'0.000002';'0.001439'
650;'0.000002';'0.001248'
650;'0.000002';'0.001620'
650;'0.000002';'0.001413'
650;'0.000002';'0.001370'
650;'0.000002';'0.001617'
650;'0.000002';'0.001109'
650;'0.000002';'0.002210'
650;'0.000003';'0.001345'
660;'0.000003';'0.001394'
660;'0.000004';'0.001251'
660;'0.000004';'0.001191'
660;'0.000004';'0.001214'
660;'0.000003';'0.001262'
660;'0.000004';'0.001257'
660;'0.000004';'0.001405'
660;'0.000004';'0.001221'
660;'0.000004';'0.001276'
660;'0.000004';'0.001368'
670;'0.000004';'0.001475'
670;'0.000004';'0.001193'
670;'0.000004';'0.001406'
670;'0.000004';'0.001719'
670;'0.000004';'0.001515'
670;'0.000004';'0.001159'
670;'0.000004';'0.001683'
670;'0.000004';'0.001378'
670;'0.000004';'0.001257'
670;'0.000004';'0.001064'
680;'0.000003';'0.001224'
680;'0.000004';'0.001069'
680;'0.000003';'0.001201'
680;'0.000004';'0.001081'
680;'0.000004';'0.000970'
680;'0.000004';'0.001389'
680;'0.000003';'0.001271'
680;'0.000003';'0.001199'
680;'0.000003';'0.001099'
680;'0.000003';'0.001461'
690;'0.000004';'0.001292'
690;'0.000004';'0.001338'
690;'0.000003';'0.001834'
690;'0.000004';'0.001504'
690;'0.000003';'0.001427'
690;'0.000003';'0.001345'
690;'0.000004';'0.001343'
690;'0.000004';'0.001374'
690;'0.000004';'0.001538'
690;'0.000004';'0.001372'
700;'0.000002';'0.001232'
700;'0.000002';'0.001502'
700;'0.000002';'0.001234'
700;'0.000003';'0.002152'
700;'0.000003';'0.001893'
700;'0.000002';'0.001421'
700;'0.000002';'0.001244'
700;'0.000003';'0.001431'
700;'0.000002';'0.001252'
700;'0.000003';'0.001285'
710;'0.000002';'0.001242'
710;'0.000002';'0.001308'
710;'0.000002';'0.001061'
710;'0.000002';'0.001168'
710;'0.000001';'0.001265'
710;'0.000001';'0.001193'
710;'0.000002';'0.001036'
710;'0.000002';'0.001249'
710;'0.000002';'0.008031'
710;'0.000002';'0.001183'
720;'0.000002';'0.001817'
720;'0.000003';'0.001682'
720;'0.000004';'0.001266'
720;'0.000002';'0.001239'
720;'0.000002';'0.001262'
720;'0.000003';'0.001359'
720;'0.000002';'0.001331'
720;'0.000003';'0.001295'
720;'0.000003';'0.001242'
720;'0.000003';'0.001319'
730;'0.000002';'0.001359'
730;'0.000001';'0.001606'
730;'0.000002';'0.001265'
730;'0.000002';'0.003659'
730;'0.000002';'0.001300'
730;'0.000002';'0.001978'
730;'0.000002';'0.001721'
730;'0.000002';'0.001301'
730;'0.000002';'0.001276'
730;'0.000002';'0.001270'
740;'0.000004';'0.001428'
740;'0.000003';'0.001285'
740;'0.000004';'0.001214'
740;'0.000004';'0.001222'
740;'0.000004';'0.001405'
740;'0.000004';'0.001300'
740;'0.000004';'0.001603'
740;'0.000004';'0.001341'
740;'0.000004';'0.001442'
740;'0.000004';'0.001328'
750;'0.000004';'0.001669'
750;'0.000004';'0.001425'
750;'0.000004';'0.001286'
750;'0.000004';'0.001185'
750;'0.000004';'0.001492'
750;'0.000004';'0.001298'
750;'0.000004';'0.001443'
750;'0.000004';'0.001170'
750;'0.000004';'0.001228'
750;'0.000004';'0.001190'
760;'0.000004';'0.001344'
760;'0.000004';'0.001204'
760;'0.000004';'0.001349'
760;'0.000004';'0.001420'
760;'0.000004';'0.001435'
760;'0.000004';'0.001335'
760;'0.000005';'0.001181'
760;'0.000004';'0.001181'
760;'0.000004';'0.001315'
760;'0.000004';'0.001310'
770;'0.000002';'0.001311'
770;'0.000002';'0.001309'
770;'0.000002';'0.001488'
770;'0.000002';'0.001312'
770;'0.000002';'0.003669'
770;'0.000002';'0.001367'
770;'0.000003';'0.001812'
770;'0.000002';'0.001655'
770;'0.000002';'0.001309'
770;'0.000002';'0.001359'
780;'0.000004';'0.001276'
780;'0.000004';'0.001382'
780;'0.000004';'0.001210'
780;'0.000004';'0.001325'
780;'0.000004';'0.001321'
780;'0.000004';'0.001361'
780;'0.000004';'0.006336'
780;'0.000003';'0.002916'
780;'0.000004';'0.001234'
780;'0.000004';'0.002024'
790;'0.000002';'0.001432'
790;'0.000002';'0.001355'
790;'0.000003';'0.001260'
790;'0.000002';'0.001416'
790;'0.000001';'0.001342'
790;'0.000007';'0.001093'
790;'0.000002';'0.001084'
790;'0.000002';'0.001378'
790;'0.000002';'0.001408'
790;'0.000002';'0.001404'
800;'0.000004';'0.001658'
800;'0.000004';'0.001842'
800;'0.000003';'0.001362'
800;'0.000004';'0.001610'
800;'0.000003';'0.001609'
800;'0.000004';'0.001086'
800;'0.000003';'0.001414'
800;'0.000003';'0.001366'
800;'0.000003';'0.001328'
800;'0.000003';'0.001342'
810;'0.000004';'0.001340'
810;'0.000004';'0.001355'
810;'0.000004';'0.001339'
810;'0.000004';'0.001366'
810;'0.000003';'0.001601'
810;'0.000004';'0.001464'
810;'0.000004';'0.002404'
810;'0.000004';'0.001373'
810;'0.000003';'0.001457'
810;'0.000004';'0.001582'
820;'0.000003';'0.001286'
820;'0.000003';'0.001228'
820;'0.000003';'0.001367'
820;'0.000004';'0.001641'
820;'0.000002';'0.001373'
820;'0.000003';'0.001293'
820;'0.000003';'0.001346'
820;'0.000003';'0.001349'
820;'0.000003';'0.001429'
820;'0.000004';'0.001845'
830;'0.000002';'0.001778'
830;'0.000002';'0.001466'
830;'0.000002';'0.001655'
830;'0.000002';'0.001632'
830;'0.000002';'0.001420'
830;'0.000003';'0.001393'
830;'0.000003';'0.001375'
830;'0.000003';'0.001553'
830;'0.000002';'0.001484'
830;'0.000002';'0.001326'
840;'0.000002';'0.001300'
840;'0.000002';'0.001511'
840;'0.000002';'0.001845'
840;'0.000002';'0.001426'
840;'0.000002';'0.003632'
840;'0.000002';'0.001472'
840;'0.000002';'0.001960'
840;'0.000001';'0.001752'
840;'0.000002';'0.001427'
840;'0.000002';'0.001369'
850;'0.000003';'0.001355'
850;'0.000002';'0.001522'
850;'0.000003';'0.001421'
850;'0.000002';'0.001395'
850;'0.000002';'0.001374'
850;'0.000003';'0.001665'
850;'0.000003';'0.001421'
850;'0.000003';'0.002221'
850;'0.000004';'0.001795'
850;'0.000002';'0.001549'
860;'0.000004';'0.001802'
860;'0.000004';'0.001728'
860;'0.000004';'0.001392'
860;'0.000004';'0.001581'
860;'0.000004';'0.001473'
860;'0.000004';'0.001388'
860;'0.000004';'0.001342'
860;'0.000004';'0.001593'
860;'0.000005';'0.001445'
860;'0.000004';'0.001398'
870;'0.000004';'0.003391'
870;'0.000005';'0.001564'
870;'0.000004';'0.001381'
870;'0.000004';'0.001396'
870;'0.000004';'0.001963'
870;'0.000005';'0.001761'
870;'0.000004';'0.001289'
870;'0.000004';'0.001390'
870;'0.000004';'0.001473'
870;'0.000004';'0.001411'
880;'0.000003';'0.001444'
880;'0.000003';'0.001396'
880;'0.000003';'0.001444'
880;'0.000003';'0.001415'
880;'0.000003';'0.001476'
880;'0.000004';'0.001513'
880;'0.000003';'0.002099'
880;'0.000003';'0.001452'
880;'0.000003';'0.001674'
880;'0.000003';'0.001517'
890;'0.000008';'0.001462'
890;'0.000002';'0.001442'
890;'0.000003';'0.001682'
890;'0.000002';'0.001917'
890;'0.000002';'0.001414'
890;'0.000003';'0.001429'
890;'0.000003';'0.001409'
890;'0.000003';'0.001877'
890;'0.000003';'0.001816'
890;'0.000003';'0.002303'
900;'0.000004';'0.002071'
900;'0.000004';'0.001572'
900;'0.000003';'0.001901'
900;'0.000004';'0.002265'
900;'0.000002';'0.001757'
900;'0.000003';'0.002328'
900;'0.000004';'0.001651'
900;'0.000003';'0.001575'
900;'0.000003';'0.001450'
900;'0.000004';'0.001433'
910;'0.000004';'0.001380'
910;'0.000003';'0.003513'
910;'0.000004';'0.001379'
910;'0.000004';'0.002020'
910;'0.000003';'0.001630'
910;'0.000003';'0.001394'
910;'0.000003';'0.001368'
910;'0.000003';'0.001431'
910;'0.000003';'0.001468'
910;'0.000003';'0.001390'
920;'0.000004';'0.001468'
920;'0.000003';'0.001536'
920;'0.000004';'0.001349'
920;'0.000003';'0.002660'
920;'0.000003';'0.001559'
920;'0.000004';'0.002010'
920;'0.000004';'0.001650'
920;'0.000004';'0.001458'
920;'0.000004';'0.001543'
920;'0.000004';'0.001363'
930;'0.000002';'0.001417'
930;'0.000002';'0.001650'
930;'0.000002';'0.001566'
930;'0.000001';'0.001565'
930;'0.000001';'0.001760'
930;'0.000001';'0.001605'
